NAMESPACE     NAME                                                READY   STATUS         RESTARTS   AGE
argocd        argocd-application-controller-0                     1/1     Running        0          30m
argocd        argocd-applicationset-controller-6fdc8c98c7-blg9q   1/1     Running        0          30m
argocd        argocd-dex-server-cbd84857d-wmvtn                   0/1     ErrImagePull   0          30m
argocd        argocd-notifications-controller-5f968f95f-7ztfk     1/1     Running        0          30m
argocd        argocd-redis-64f95db994-4dmwv                       1/1     Running        0          30m
argocd        argocd-repo-server-7c69757f4c-65ncd                 1/1     Running        0          30m
argocd        argocd-server-fcbd67c4d-q2fr2                       1/1     Running        0          30m
jenkins       jenkins-0                                           0/2     Init:1/2       0          30m
kube-system   coredns-ccb96694c-lrvdg                             1/1     Running        0          9h
kube-system   helm-install-traefik-blxbq                          0/1     Completed      0          9h
kube-system   helm-install-traefik-crd-j4fpk                      0/1     Completed      0          9h
kube-system   local-path-provisioner-5cf85fd84d-nt78b             1/1     Running        0          9h
kube-system   metrics-server-5985cbc9d7-788br                     1/1     Running        0          9h
kube-system   svclb-traefik-4110d327-smkbh                        2/2     Running        0          9h
kube-system   svclb-traefik-4110d327-vjhq2                        2/2     Running        0          9h
kube-system   svclb-traefik-4110d327-xcrf6                        2/2     Running        0          9h
kube-system   traefik-5d45fc8cc9-cmmr2                            1/1     Running        0          9h
monitoring    grafana-66c5c8ddd5-blm6l                            0/1     ErrImagePull   0          30m
monitoring    prometheus-alertmanager-0                           1/1     Running        0          30m
monitoring    prometheus-kube-state-metrics-558c757b6c-wdbnk      1/1     Running        0          30m
monitoring    prometheus-prometheus-node-exporter-2ftmv           1/1     Running        0          30m
monitoring    prometheus-prometheus-node-exporter-7ntv8           1/1     Running        0          30m
monitoring    prometheus-prometheus-node-exporter-j25kd           1/1     Running        0          30m
monitoring    prometheus-prometheus-pushgateway-6d4f57898-w4tld   1/1     Running        0          30m
monitoring    prometheus-server-79f85cf646-8fb7q                  2/2     Running        0          30m
monitoring    zipkin-7f9458f7b9-5j7cp                             1/1     Running        0          30m
